Date,Open,High,Low,Close,Volume,Adj Close
04/09/2012,20.63,22.69,20.48,22.36,55025600,22.36
01/08/2012,20.86,21.19,20.2,20.71,31618300,20.55
02/07/2012,20.74,21,19.36,20.75,51637000,20.59
01/06/2012,18.82,20.84,18.02,20.84,63453200,20.68
01/05/2012,19.58,19.95,18.32,19.09,46065700,18.79
02/04/2012,20.03,20.11,18.7,19.58,43774500,19.27
01/03/2012,19.15,21,18.32,20.07,50233700,19.75
01/02/2012,18.94,19.5,18.7,19.05,49933200,18.75
03/01/2012,18.23,19.27,18.23,18.71,51444600,18.25
01/12/2011,15.89,18.28,15.73,17.91,73366100,17.47
01/11/2011,16.13,16.69,14.68,15.91,64406600,15.37
03/10/2011,15.1,17.5,14.02,16.71,70815300,16.14
01/09/2011,16.31,16.45,14.72,15.22,88186000,14.7
01/08/2011,18.39,18.42,14.82,16.31,93424200,15.61
01/07/2011,18.86,19.53,17.78,17.91,56825300,17.14
01/06/2011,19.47,19.6,17.97,18.86,53953900,18.05
02/05/2011,20.7,20.71,18.97,19.64,45910500,18.64
01/04/2011,20.14,20.85,19.51,20.45,56260900,19.41
01/03/2011,21.12,21.17,18.6,20.05,63914200,19.03
01/02/2011,20.38,21.65,20.08,20.92,52895600,19.85
03/01/2011,18.49,20.74,18.12,20.14,76413100,18.98
01/12/2010,16.03,18.49,16.03,18.29,57131500,17.24
01/11/2010,16.09,16.86,15.63,15.83,55387200,14.8
01/10/2010,16.4,17.49,15.88,16.02,64676100,14.98
01/09/2010,14.73,16.7,14.6,16.25,60450700,15.2
02/08/2010,16.32,16.54,14.25,14.48,60617900,13.44
01/07/2010,14.33,16.57,13.75,16.12,75597900,14.96
01/06/2010,16.24,16.51,14.27,14.42,83717300,13.39
03/05/2010,18.97,19.34,15.15,16.35,106550400,15.08
01/04/2010,18.27,19.7,18.18,18.86,82505100,17.4
01/03/2010,16.1,18.94,15.83,18.2,93006300,16.79
01/02/2010,16.2,17.03,15.25,16.06,77313200,14.81
04/01/2010,15.22,16.92,15.15,16.08,88647000,14.74
01/12/2009,16.27,16.49,15.13,15.13,62454500,13.87
02/11/2009,14.3,16.25,14.15,16.02,80429200,14.59
01/10/2009,16.31,16.87,14.15,14.26,103007100,12.99
01/09/2009,13.74,17.52,13.03,16.42,132466400,14.96
03/08/2009,13.65,14.88,13.16,13.9,86516200,12.59
01/07/2009,11.76,13.45,10.5,13.4,100768400,12.13
01/06/2009,13.82,13.99,11.25,11.72,87259400,10.61
01/05/2009,12.74,14.55,12.22,13.48,104569000,12.11
01/04/2009,9.91,12.81,9.8,12.65,133547800,11.36
02/03/2009,8.29,11.35,5.87,10.11,277426300,9.08
02/02/2009,12.03,12.9,8.4,8.51,194928800,7.64
02/01/2009,16.51,17.24,11.87,12.13,117846700,10.58
01/12/2008,16.36,19.3,15.35,16.2,98683700,14.13
03/11/2008,19.78,21.04,12.58,17.17,134841700,14.7
01/10/2008,24,25.75,17.27,19.51,164650600,16.7
02/09/2008,28.54,29.28,22.16,25.5,105769100,21.83
01/08/2008,28.43,30.39,27.76,28.1,43604700,23.73
01/07/2008,26.42,29.89,25.6,28.29,69943000,23.89
02/06/2008,30.75,31.14,26.15,26.69,75216900,22.54
01/05/2008,32.8,33.62,30.21,30.72,52851400,25.66
01/04/2008,37.36,38.52,31.55,32.7,64485500,27.31
03/03/2008,33.34,37.74,31.65,37.01,59927700,30.91
01/02/2008,35.59,36.3,33.09,33.14,44926300,27.68
02/01/2008,37.1,37.45,32.92,35.36,55123800,29.27
03/12/2007,38.2,38.2,36.07,37.07,42936400,30.69
01/11/2007,40.89,40.98,36.52,38.29,45181800,31.43
01/10/2007,41.28,42.15,39.4,41.16,32919400,33.78
04/09/2007,38.84,42.07,38.45,41.4,37426500,33.98
01/08/2007,38.6,40.46,36.2,38.87,46947200,31.69
02/07/2007,38.42,40.98,37.73,38.76,43667100,31.6
01/06/2007,37.68,39.77,36.65,38.28,43860200,31.21
01/05/2007,36.82,37.81,36.45,37.58,31562900,30.42
02/04/2007,35.36,37.24,34.55,36.86,41666000,29.84
01/03/2007,34.61,36,33.9,35.36,37497700,28.62
01/02/2007,36.18,36.5,34.5,34.91,34598700,28.26
03/01/2007,37.41,38.28,35.76,36.05,34343900,28.95
01/12/2006,35.38,38.49,34.96,37.21,33604700,29.88
01/11/2006,35.2,36.28,34.62,35.28,23114100,28.13
02/10/2006,35.4,36.48,34.92,35.11,26500400,27.99
01/09/2006,34.18,35.65,33.76,35.3,24034200,28.14
01/08/2006,32.65,34.44,32.2,34.06,18494400,26.96
03/07/2006,33.1,33.62,32.06,32.69,24910500,25.87
01/06/2006,34.3,34.92,32.78,32.96,27849600,26.09
01/05/2006,34.64,35.24,33.7,34.26,24209600,26.92
03/04/2006,34.79,34.99,33.07,34.59,26428700,27.18
01/03/2006,32.97,35,32.58,34.78,26519300,27.32
01/02/2006,32.66,33.75,32.21,32.87,26951100,25.82
03/01/2006,35.1,35.63,32.63,32.75,34947000,25.54
01/12/2005,35.85,36.26,34.95,35.05,22568500,27.33
01/11/2005,33.97,36.34,33.51,35.72,22225800,27.66
03/10/2005,33.6,34.5,32.67,33.91,23636600,26.26
01/09/2005,33.43,34.58,33,33.67,22843400,26.07
01/08/2005,34.57,34.62,32.85,33.61,19156900,25.85
01/07/2005,34.85,35.78,33.93,34.5,22692600,26.54
01/06/2005,36.48,37.13,34.15,34.65,24312400,26.65
02/05/2005,36.08,37.34,35.56,36.48,17054700,27.89
01/04/2005,36.18,36.6,35.02,36.2,21540700,27.67
01/03/2005,35.27,36.48,35.06,36.06,18737000,27.57
01/02/2005,36,36.61,35.05,35.2,17348000,26.91
03/01/2005,36.71,36.89,34.95,36.13,19883000,27.45
